,VITRY:PM10,VITRY:PM25,VITRY:NO2,VITRY:SO2,VITRY:NO,VITRY:NOX,VITRY:O3,OBJECTID
2019/01/01 20:00:00+00,19.700000,12.300000,35.400000,3.100000,3.300000,40.400000,26.600000,24
2019/01/01 21:00:00+00,17.300000,10.100000,37.200000,3.100000,3.700000,42.900000,23.900000,25
2019/01/01 22:00:00+00,13.800000,11.300000,30.800000,3.300000,1.700000,33.400000,26.800000,26
2019/01/01 23:00:00+00,13.900000,9.900000,23.700000,3.300000,1.600000,26.200000,36.900000,27
2019/01/02 00:00:00+00,15.700000,7.500000,13.200000,4.100000,1.700000,15.800000,55.800000,28
2019/01/02 01:00:00+00,16.500000,7.500000,11.500000,1,0.900000,12.800000,59.400000,29
2019/01/02 02:00:00+00,13.700000,7.800000,9.100000,0.700000,0.200000,9.300000,60.100000,30
2019/01/02 03:00:00+00,12.700000,6.900000,9.600000,1,0.200000,9.900000,61,31
2019/01/02 04:00:00+00,14.500000,8.300000,10,1.100000,0.300000,10.600000,59,32
2019/01/02 05:00:00+00,13.100000,7,19.700000,1,1,21.200000,52.800000,33
2019/01/02 06:00:00+00,19.100000,10.500000,27.500000,1.200000,2.900000,31.900000,52.300000,34
2019/01/02 07:00:00+00,22.400000,9.200000,39.800000,0.800000,6,49,41.400000,35
2019/01/02 08:00:00+00,23.300000,12.300000,42.500000,0.700000,5.500000,50.900000,40.600000,36
2019/01/02 09:00:00+00,23.900000,10.300000,43.700000,0.700000,8.100000,56.200000,36.900000,37
2019/01/02 10:00:00+00,29.800000,11.500000,42.600000,0.700000,11.900000,60.700000,41.600000,38
2019/01/02 11:00:00+00,27.500000,10,38.700000,0.500000,8.700000,52,43,39
2019/01/02 12:00:00+00,17,9.400000,34.100000,0.900000,7.900000,46.100000,49.400000,40
2019/01/02 13:00:00+00,19.900000,11.300000,28.800000,0.600000,4.800000,36.200000,54.100000,41
2019/01/02 14:00:00+00,19.100000,10.800000,30,0.400000,5.900000,39,53.300000,42
2019/01/02 15:00:00+00,16,8.100000,30.200000,0.300000,5,37.800000,55.200000,43
2019/01/02 16:00:00+00,11.600000,7,34.300000,0.500000,4.600000,41.400000,52.200000,44
2019/01/02 17:00:00+00,16.900000,9.900000,37.100000,0.500000,4.500000,44.100000,48.600000,45
2019/01/02 18:00:00+00,19.500000,7.300000,41.200000,0.200000,4.700000,48.400000,45,46
2019/01/02 19:00:00+00,19.700000,8.400000,40.100000,0.200000,5.200000,48,44.400000,47
2019/01/02 20:00:00+00,20.100000,7.800000,28.400000,0,2.300000,32,51.500000,48
2019/01/02 21:00:00+00,17.300000,14.100000,33.200000,0,2.800000,37.400000,46.300000,49
2019/01/02 22:00:00+00,18.200000,12.700000,35.400000,0,2.500000,39.300000,42.800000,50
2019/01/02 23:00:00+00,19.400000,12.500000,35.800000,0.200000,2.600000,39.900000,39.900000,51
2019/01/03 00:00:00+00,14,9.600000,32.400000,0.200000,2.100000,35.700000,42.600000,52
2019/01/03 01:00:00+00,20.400000,9.200000,33.200000,4.900000,1.200000,35.100000,37.600000,53
2019/01/03 02:00:00+00,19.500000,8.500000,23.900000,4.900000,0.600000,24.800000,46.800000,54
2019/01/03 03:00:00+00,16.200000,8.800000,18.900000,4.500000,0.500000,19.800000,47.300000,55
2019/01/03 04:00:00+00,18.500000,9.500000,24.900000,4.500000,1.500000,27.200000,40,56
2019/01/03 05:00:00+00,17.100000,13.500000,40.400000,5,3.700000,46.100000,26.600000,57
2019/01/03 06:00:00+00,18.800000,11.200000,48.700000,4.800000,4.700000,55.800000,23.400000,58
2019/01/03 07:00:00+00,22.400000,10.500000,60,4.700000,7.400000,71.400000,12.400000,59
2019/01/03 08:00:00+00,22.100000,10.400000,71.700000,4.700000,16.500000,97,4.400000,60
2019/01/03 09:00:00+00,26.500000,9.700000,71.300000,4.700000,24.900000,109.500000,5.500000,61
2019/01/03 10:00:00+00,23.900000,14,64.400000,4.900000,20.800000,96.100000,12.800000,62
2019/01/03 11:00:00+00,28.200000,12.200000,56.400000,5.200000,15.500000,80.200000,21.600000,63
2019/01/03 12:00:00+00,24,14.400000,52.400000,5,14.100000,74.200000,26.800000,64
2019/01/03 13:00:00+00,25.600000,13.500000,52,5.100000,13.100000,72.200000,28,65
2019/01/03 14:00:00+00,18.400000,10.700000,43.900000,5,7.400000,55.200000,34.300000,66
2019/01/03 15:00:00+00,14.900000,13.900000,43.400000,5,6.900000,54,39.800000,67
2019/01/03 16:00:00+00,14.500000,11.900000,43.900000,4.700000,6.100000,53.200000,37.200000,68
2019/01/03 17:00:00+00,17.200000,13.300000,55,4.800000,8.100000,67.300000,27.300000,69
2019/01/03 18:00:00+00,14.500000,10.800000,54.600000,4.700000,7.800000,66.600000,27.400000,70
2019/01/03 19:00:00+00,17.700000,12.300000,43.800000,4.300000,4.700000,51,35.300000,71
2019/01/03 20:00:00+00,15,12,45.200000,4.400000,4.500000,52.100000,33.600000,72
2019/01/03 21:00:00+00,15.800000,10.900000,36.500000,4.100000,2.300000,39.900000,37.900000,73
2019/01/03 22:00:00+00,15.400000,13.700000,40.500000,4.200000,3.300000,45.500000,34.400000,74
2019/01/03 23:00:00+00,19.100000,12.200000,36.900000,4.100000,2.800000,41.200000,33.100000,75
2019/01/04 00:00:00+00,18.600000,15.300000,36.500000,4.100000,3.100000,41.200000,30.400000,76
2019/01/04 01:00:00+00,21.600000,16.200000,39.300000,2.500000,1.700000,42,26.300000,77
2019/01/04 02:00:00+00,22.500000,18.800000,34.400000,2.900000,1.300000,36.400000,26.700000,78
2019/01/04 03:00:00+00,25.700000,25.600000,34.600000,3.200000,0.900000,36,22.500000,79
2019/01/04 04:00:00+00,24.400000,23.800000,35,2.800000,1.600000,37.500000,20.500000,80
2019/01/04 05:00:00+00,23.800000,18.300000,39.700000,2.900000,3,44.200000,18.800000,81
2019/01/04 06:00:00+00,27.100000,20.400000,48.200000,3.100000,8,60.500000,15.200000,82
2019/01/04 07:00:00+00,22.700000,23.300000,61.400000,3.200000,13.100000,81.400000,4,83
2019/01/04 08:00:00+00,32.700000,26,65.700000,3.400000,29.500000,111.100000,0.300000,84
2019/01/04 09:00:00+00,35.300000,24.800000,68.200000,3.400000,44.900000,137,1.400000,85
2019/01/04 10:00:00+00,31.500000,24.800000,63.300000,4.100000,33.500000,114.700000,6.300000,86
2019/01/04 11:00:00+00,29.800000,21.900000,58.400000,4.400000,26.300000,98.800000,15.100000,87
2019/01/04 12:00:00+00,29.900000,21.100000,55.200000,4.600000,16.400000,80.300000,18.400000,88
2019/01/04 13:00:00+00,23.700000,17.400000,49.100000,4.700000,13.300000,69.500000,26.200000,89
2019/01/04 14:00:00+00,16.600000,10.300000,39.100000,3.800000,7.400000,50.300000,39.600000,90
2019/01/04 15:00:00+00,10.400000,12.900000,33.700000,3.500000,6.400000,43.600000,47.800000,91
2019/01/04 16:00:00+00,14.400000,9.800000,39.600000,3.400000,6,48.900000,41.200000,92
2019/01/04 17:00:00+00,14.600000,8.900000,42.700000,3.200000,5.800000,51.600000,37.400000,93
2019/01/04 18:00:00+00,15.900000,11.700000,41.400000,3,7.400000,52.800000,37.900000,94
2019/01/04 19:00:00+00,20.300000,13.300000,34.500000,3.400000,4,40.700000,42.800000,95
2019/01/04 20:00:00+00,13.800000,10.200000,30.700000,2.900000,2.400000,34.500000,45.900000,96
2019/01/04 21:00:00+00,15.700000,8.100000,25.300000,2.700000,1.400000,27.400000,48.900000,97
2019/01/04 22:00:00+00,15.100000,15.200000,20.100000,2.800000,1,21.600000,49.100000,98
2019/01/04 23:00:00+00,22.100000,20.300000,25.700000,4,1.400000,27.800000,39.500000,99
2019/01/05 00:00:00+00,24.100000,21.400000,25.400000,3.300000,3,29.900000,37.400000,100
2019/01/05 01:00:00+00,18.300000,14.200000,21.100000,3.500000,2.200000,24.500000,42.900000,101
2019/01/05 02:00:00+00,21.600000,11.100000,17.900000,3.100000,1,19.600000,47.500000,102
2019/01/05 03:00:00+00,17,13.800000,20.800000,4.600000,0.700000,21.900000,46.900000,103
2019/01/05 04:00:00+00,9.900000,10.800000,14.300000,3.400000,0.300000,14.900000,53.100000,104
2019/01/05 05:00:00+00,12.300000,13.300000,13.900000,3.100000,1.500000,16.300000,55.200000,105
2019/01/05 06:00:00+00,16.200000,15.800000,15.300000,3,1.200000,17.300000,52.200000,106
2019/01/05 07:00:00+00,15.600000,12,19.800000,3.500000,1.100000,21.600000,48.600000,107
2019/01/05 08:00:00+00,14.800000,12.800000,22.100000,2.900000,1.400000,24.200000,44.200000,108
2019/01/05 09:00:00+00,17.400000,17.800000,33.100000,3.100000,3.100000,37.800000,33.400000,109
2019/01/05 10:00:00+00,20.800000,16,29.900000,3.300000,4.300000,36.600000,33.400000,110
2019/01/05 11:00:00+00,24.100000,14,39,3.200000,8.200000,51.600000,26.600000,111
2019/01/05 12:00:00+00,19.700000,18.800000,34.700000,2.800000,6.300000,44.300000,29.200000,112
2019/01/05 13:00:00+00,23.300000,17.200000,34.800000,2.700000,6.600000,44.900000,27.900000,113
2019/01/05 14:00:00+00,19.700000,14.700000,35.800000,2.700000,6.900000,46.400000,27.100000,114
2019/01/05 15:00:00+00,18,11.100000,31.500000,2.900000,4.900000,39.100000,31.900000,115
2019/01/05 16:00:00+00,18.700000,16.500000,28.900000,2.700000,3.500000,34.400000,35.700000,116
2019/01/05 17:00:00+00,19.500000,16.800000,31.100000,2.900000,5.300000,39.200000,33.100000,117
2019/01/05 18:00:00+00,22.800000,20.500000,29,2.900000,2.800000,33.300000,34.400000,118
2019/01/05 19:00:00+00,22.300000,20.300000,26.400000,2.600000,3.300000,31.400000,37.600000,119
2019/01/05 20:00:00+00,17.300000,14,19.900000,2.900000,2.300000,23.600000,45.700000,120
2019/01/05 21:00:00+00,22.300000,17.200000,19.800000,3,2,22.900000,41.500000,121
2019/01/05 22:00:00+00,26.100000,23.300000,20.300000,2.800000,1.700000,22.700000,38,122
2019/01/05 23:00:00+00,22.900000,17.900000,17.200000,2.900000,1.800000,20.100000,39.800000,123
2019/01/06 00:00:00+00,24.800000,22.600000,20.300000,2.700000,0.800000,21.600000,34.700000,124
2019/01/06 01:00:00+00,26.800000,19.400000,18.700000,2.300000,0.900000,20.100000,35.200000,125
2019/01/06 02:00:00+00,25.900000,23.200000,18.200000,2.100000,1.600000,20.600000,35.600000,126
2019/01/06 03:00:00+00,30.400000,30.300000,20.300000,2.200000,0.400000,20.800000,31.300000,127
2019/01/06 04:00:00+00,27.300000,18.200000,14.400000,2.100000,0.500000,15.200000,45,128
2019/01/06 05:00:00+00,13.800000,12.500000,11.500000,2.500000,0.800000,12.700000,51.600000,129
2019/01/06 06:00:00+00,18.500000,17,15.100000,2.300000,0.500000,15.900000,47.800000,130
2019/01/06 07:00:00+00,19.300000,19.100000,25,2.700000,1.900000,27.900000,39.400000,131
2019/01/06 08:00:00+00,23.800000,18.400000,30.300000,2.300000,3.200000,35.200000,30.900000,132
2019/01/06 09:00:00+00,26.400000,21.200000,34.800000,2.600000,4.300000,41.400000,23.100000,133
2019/01/06 10:00:00+00,23.700000,26.200000,40.900000,2.300000,7.500000,52.400000,17,134
2019/01/06 11:00:00+00,22.700000,19.900000,42.700000,2.600000,9.900000,57.900000,17.400000,135
2019/01/06 12:00:00+00,26,25,47.400000,2.400000,12.900000,67.100000,12.800000,136
2019/01/06 13:00:00+00,26.500000,17.700000,43,2.200000,8.500000,56,21.900000,137
2019/01/06 14:00:00+00,25.100000,19.600000,43.600000,2.300000,7.600000,55.400000,25.500000,138
2019/01/06 15:00:00+00,21.300000,17.700000,42.400000,2.100000,6.500000,52.400000,26.800000,139
2019/01/06 16:00:00+00,27.800000,19.800000,39.700000,2,4.900000,47.200000,26.500000,140
2019/01/06 17:00:00+00,26.100000,23.400000,43.800000,2.200000,8,56.100000,19.100000,141
2019/01/06 18:00:00+00,25.500000,21.500000,46.900000,2,6.700000,57.100000,16.400000,142
2019/01/06 19:00:00+00,34.800000,25.200000,48.400000,2.200000,9.800000,63.400000,12.100000,143
2019/01/06 20:00:00+00,31.200000,25.600000,50.100000,2.100000,8.400000,63,10,144
2019/01/06 21:00:00+00,34.400000,25.900000,48.500000,1.800000,6.200000,58.100000,9.100000,145
2019/01/06 22:00:00+00,39.900000,33.500000,57.500000,1.700000,11.800000,75.600000,0.700000,146
2019/01/06 23:00:00+00,40.600000,33,53.200000,2,16.200000,78.100000,0.700000,147
2019/01/07 00:00:00+00,32.900000,28.100000,48.200000,1.500000,5.300000,56.300000,0.800000,148
2019/01/07 01:00:00+00,33.900000,23.500000,41.600000,1.200000,3.700000,47.100000,11.100000,149
2019/01/07 02:00:00+00,22,25.100000,23,1.800000,0.600000,23.800000,24.500000,150
2019/01/07 03:00:00+00,27.200000,20.300000,21,1.800000,0.600000,21.900000,25.200000,151
2019/01/07 04:00:00+00,26.300000,18.700000,20.500000,2,0.500000,21.300000,26.500000,152
2019/01/07 05:00:00+00,23.600000,19.800000,27.200000,2.300000,3.800000,33.100000,20.300000,153
2019/01/07 06:00:00+00,28.200000,18.800000,47.800000,2.300000,10.200000,63.300000,7.500000,154
2019/01/07 07:00:00+00,28,20.700000,59.700000,2.300000,19.700000,89.800000,0.800000,155
2019/01/07 08:00:00+00,27.300000,14.800000,62.600000,2.400000,40.500000,124.700000,0,156
2019/01/07 09:00:00+00,38,20.600000,66.500000,2.900000,80.200000,189.500000,0.100000,157
2019/01/07 10:00:00+00,33,17.700000,62.100000,3.100000,46.200000,133,2,158
2019/01/07 11:00:00+00,28,15,60,3.400000,36.600000,116.200000,6,159
2019/01/07 12:00:00+00,25.100000,11.600000,46.500000,3,16.500000,71.700000,14.900000,160
2019/01/07 13:00:00+00,18,16,40.800000,3.100000,12.200000,59.600000,22.900000,161
2019/01/07 14:00:00+00,16.600000,10.800000,45.600000,2.900000,10.900000,62.400000,21.400000,162
2019/01/07 15:00:00+00,14.100000,12.300000,42.200000,2.100000,8.400000,55.100000,27.100000,163
2019/01/07 16:00:00+00,10.400000,10.500000,38.500000,2.100000,5.900000,47.600000,28.400000,164
2019/01/07 17:00:00+00,14.700000,8.100000,53.100000,2.100000,12.600000,72.500000,10.700000,165
2019/01/07 18:00:00+00,9.900000,8.700000,51.800000,2.200000,10.400000,67.700000,11,166
2019/01/07 19:00:00+00,16.300000,11.900000,48.500000,2.100000,10.100000,64,12.100000,167
2019/01/07 20:00:00+00,18.700000,16.100000,46,1.900000,6.400000,55.800000,11,168
2019/01/07 21:00:00+00,21.400000,14,31.300000,2,2.400000,35.100000,21,169
2019/01/07 22:00:00+00,17.500000,15,23.500000,2.400000,1.500000,25.900000,28.100000,170
2019/01/07 23:00:00+00,10.400000,12.600000,18.900000,2.300000,1.300000,20.900000,32.100000,171
2019/01/08 00:00:00+00,13.100000,10,13.200000,2.500000,1,14.700000,38.400000,172
2019/01/08 01:00:00+00,16.300000,8.500000,9.900000,1.700000,0.400000,10.500000,47.700000,173
2019/01/08 02:00:00+00,14.700000,10.400000,5.800000,1.900000,0.200000,6,58.800000,174
2019/01/08 03:00:00+00,14.100000,8,6,2.400000,0.100000,6.200000,59.400000,175
2019/01/08 04:00:00+00,8,6.200000,7.300000,2.500000,0.200000,7.500000,58.200000,176
2019/01/08 05:00:00+00,8.500000,5.900000,,2.900000,,53.300000,,177
2019/01/08 06:00:00+00,11.500000,6.500000,26.200000,3.400000,11.100000,43.300000,40.800000,178
2019/01/08 07:00:00+00,17.100000,7.800000,37.800000,3.100000,6.900000,48.400000,33.800000,179
2019/01/08 08:00:00+00,15.100000,11.400000,36.900000,3.400000,3.500000,42.300000,34.900000,180
2019/01/08 09:00:00+00,19.300000,10.600000,34.700000,3.800000,5.700000,43.400000,38.800000,181
2019/01/08 10:00:00+00,24.700000,7.800000,29.100000,3.800000,4.900000,36.600000,46,182
2019/01/08 11:00:00+00,22.300000,,,3.700000,,,51,183
2019/01/08 12:00:00+00,19.500000,,,4.700000,,,55.700000,184
2019/01/08 13:00:00+00,19,,,3.900000,,,56,185
2019/01/08 14:00:00+00,21.100000,,,3.900000,,,56.500000,186
2019/01/08 15:00:00+00,18.300000,,,4.100000,,,52.900000,187
2019/01/08 16:00:00+00,16.500000,,28,3.300000,5,35.700000,48.200000,188
2019/01/08 17:00:00+00,15.600000,,34.400000,3.400000,4.300000,41,40.500000,189
2019/01/08 18:00:00+00,20.600000,,44.600000,3.600000,5.700000,53.400000,30.600000,190
2019/01/08 19:00:00+00,17.200000,,42.500000,3.500000,4.800000,49.900000,32.300000,191
2019/01/08 20:00:00+00,20.100000,,44,3.500000,3.300000,49,29.200000,192
2019/01/08 21:00:00+00,21.700000,,36.500000,2.900000,3.100000,41.200000,33.800000,193
2019/01/08 22:00:00+00,22.100000,,34,2.900000,3.100000,38.800000,32.600000,194
2019/01/08 23:00:00+00,24.900000,,28.500000,3,2.900000,33,37.100000,195
2019/01/09 00:00:00+00,18.600000,,23,3.100000,0.800000,24.200000,44.200000,196
2019/01/09 01:00:00+00,19.300000,,17.100000,3.400000,0.200000,17.400000,48.100000,197
2019/01/09 02:00:00+00,16.200000,,13.900000,3.700000,0.100000,13.900000,54.900000,198
2019/01/09 03:00:00+00,16.500000,,9.900000,3.500000,0.100000,10.100000,61.600000,199
2019/01/09 04:00:00+00,17.700000,,11.700000,3.300000,0.500000,12.300000,59.300000,200
2019/01/09 05:00:00+00,18.800000,,13.100000,3.400000,1.200000,15,58.100000,201
2019/01/09 06:00:00+00,18.100000,,20.200000,3.600000,0.900000,21.700000,49.500000,202
2019/01/09 07:00:00+00,16.400000,,34.300000,3.500000,3.900000,40.300000,37.600000,203
2019/01/09 08:00:00+00,19.100000,,38.100000,3.200000,4.300000,44.600000,35.900000,204
2019/01/09 09:00:00+00,18.200000,,44.500000,3.500000,6.700000,54.900000,31.400000,205
2019/01/09 10:00:00+00,18.300000,,38.200000,3.300000,7.300000,49.400000,38.600000,206
2019/01/09 11:00:00+00,21.700000,,33.300000,0.900000,5.600000,41.900000,43.900000,207
2019/01/09 12:00:00+00,16,,32.300000,1.200000,4.500000,39.200000,45.600000,208
2019/01/09 13:00:00+00,18.100000,,27.700000,1.500000,4.900000,35.200000,51.600000,209
2019/01/09 14:00:00+00,14.600000,,26.200000,1.700000,4.400000,33,53.100000,210
2019/01/09 15:00:00+00,16.900000,,23.400000,1.700000,3.700000,29.100000,57.600000,211
2019/01/09 16:00:00+00,14.700000,,30,1.200000,4.800000,37.500000,52.300000,212
2019/01/09 17:00:00+00,12.900000,,56.700000,1.300000,7.400000,68.200000,23.400000,213
2019/01/09 18:00:00+00,11.600000,,48.200000,1.300000,4.700000,55.500000,30.700000,214
2019/01/09 19:00:00+00,14.700000,,45.600000,1.300000,5,53.200000,31.500000,215
2019/01/09 20:00:00+00,14.900000,,47,1.300000,3.800000,52.800000,28.600000,216
2019/01/09 21:00:00+00,17.900000,,41.500000,1.500000,2.700000,45.700000,33.500000,217
2019/01/09 22:00:00+00,18.100000,,31.500000,1.700000,1.800000,34.300000,41.300000,218
2019/01/09 23:00:00+00,17.500000,,25.700000,1.800000,1.300000,27.800000,43.700000,219
2019/01/10 00:00:00+00,21.300000,,23.400000,2,0.900000,24.800000,45,220
2019/01/10 01:00:00+00,20.300000,,19.100000,3.300000,0.800000,20.300000,47.800000,221
2019/01/10 02:00:00+00,19.200000,,17.400000,3.300000,0.300000,18,49.100000,222
2019/01/10 03:00:00+00,16.800000,,17.900000,3.200000,0.400000,18.600000,47.600000,223
2019/01/10 04:00:00+00,18.400000,,18.600000,3.300000,0.500000,19.400000,46.900000,224
2019/01/10 05:00:00+00,19.400000,,22.500000,3.300000,1.500000,24.800000,42.700000,225
2019/01/10 06:00:00+00,20,,40.300000,3.200000,5.900000,49.300000,27.500000,226
2019/01/10 07:00:00+00,23.800000,,61.500000,4.100000,11.900000,79.900000,13.100000,227
2019/01/10 08:00:00+00,26.700000,,69.500000,2.800000,15.900000,93.900000,5.700000,228
2019/01/10 09:00:00+00,32.200000,,68.600000,3.500000,19.100000,97.900000,8.600000,229
2019/01/10 10:00:00+00,,,65.400000,3.700000,24.400000,102.700000,10,230
2019/01/10 11:00:00+00,,,,,,,,231
2019/01/10 12:00:00+00,27.300000,12.200000,46.400000,4,15.900000,71,29.300000,232
2019/01/10 13:00:00+00,24.800000,10.800000,40.600000,5.500000,12.300000,59.400000,36,233
2019/01/10 14:00:00+00,23.500000,9.100000,31.700000,4.300000,8.600000,44.800000,46.100000,234
2019/01/10 15:00:00+00,26.900000,8.400000,33.100000,3.900000,5.400000,41.400000,44.900000,235
2019/01/10 16:00:00+00,22.300000,6.700000,46.100000,3.300000,8.600000,59.300000,31.700000,236
2019/01/10 17:00:00+00,17.400000,10.300000,54.500000,2.900000,9.600000,69.300000,28.200000,237
2019/01/10 18:00:00+00,18.800000,8.500000,69.200000,2.900000,15.500000,92.800000,18.600000,238
2019/01/10 19:00:00+00,22.700000,7.500000,68.900000,3.200000,13.200000,89.100000,12.300000,239
2019/01/10 20:00:00+00,21.600000,11.200000,59,2.800000,6.200000,68.600000,21.800000,240
2019/01/10 21:00:00+00,16.600000,7.800000,57.700000,3,5,65.300000,24.800000,241
2019/01/10 22:00:00+00,14.200000,10.800000,58.400000,2.700000,5.300000,66.600000,21.700000,242
2019/01/10 23:00:00+00,12.400000,11.400000,59.400000,2.400000,1.600000,61.900000,20.700000,243
2019/01/11 00:00:00+00,10.800000,8.100000,30.400000,2.100000,0.900000,31.900000,48.600000,244
2019/01/11 01:00:00+00,10,7,33.800000,3.400000,0.700000,35,42.300000,245
2019/01/11 02:00:00+00,15,8.400000,34.100000,3.200000,1.600000,36.500000,33,246
2019/01/11 03:00:00+00,17.800000,14.300000,45.900000,2.900000,1.600000,48.500000,23.200000,247
2019/01/11 04:00:00+00,16.800000,11.800000,30.300000,3,1.400000,32.400000,35.100000,248
2019/01/11 05:00:00+00,23.700000,17,33.800000,2.600000,2.700000,37.800000,25.800000,249
2019/01/11 06:00:00+00,27.700000,17.600000,51.600000,2.700000,9.100000,65.800000,8.700000,250
2019/01/11 07:00:00+00,23.900000,15.900000,58.700000,2.400000,14.300000,80.700000,6.500000,251
2019/01/11 08:00:00+00,21.300000,15,65,2.600000,26.300000,105.300000,0.300000,252
2019/01/11 09:00:00+00,16.100000,,61.200000,2.100000,23.900000,97.700000,3.600000,253
2019/01/11 10:00:00+00,14.300000,13.700000,52.400000,2.200000,19,81.400000,7.400000,254
2019/01/11 11:00:00+00,16.300000,13.500000,48.800000,2.300000,18.900000,77.700000,7.200000,255
2019/01/11 12:00:00+00,22,18,47.900000,2.500000,26.600000,88.700000,3.900000,256
2019/01/11 13:00:00+00,21.300000,19.700000,51.500000,2.200000,24.600000,89.200000,4.800000,257
2019/01/11 14:00:00+00,23.800000,19.700000,56.800000,2.600000,15.900000,81.100000,10.700000,258
2019/01/11 15:00:00+00,22.600000,17,66,2.900000,22.200000,100.100000,6.800000,259
2019/01/11 16:00:00+00,22.600000,16.700000,69.800000,2.800000,33.700000,121.500000,1,260
2019/01/11 17:00:00+00,20.400000,,71.600000,3.100000,27.200000,113.400000,0.300000,261
2019/01/11 18:00:00+00,19.300000,13.100000,63.200000,2.800000,18.100000,90.900000,1,262
2019/01/11 19:00:00+00,21,15.700000,59.400000,2.700000,12.600000,78.600000,2.100000,263
2019/01/11 20:00:00+00,20.800000,15.100000,53.700000,3.100000,6.500000,63.600000,8.500000,264
2019/01/11 21:00:00+00,21,14,47.100000,3.100000,4.600000,54.200000,14.300000,265
2019/01/11 22:00:00+00,20.800000,19.300000,43.700000,3.400000,2.300000,47.300000,17.300000,266
2019/01/11 23:00:00+00,24,15.800000,44.400000,3.400000,4.500000,51.300000,13.900000,267
2019/01/12 00:00:00+00,16.400000,10.800000,32,3.500000,1.800000,34.800000,27.300000,268
2019/01/12 01:00:00+00,13.100000,,30.500000,0,2.600000,34.600000,28.300000,269
2019/01/12 02:00:00+00,15.100000,,27.300000,0,1.500000,29.500000,30.100000,270
2019/01/12 03:00:00+00,13.200000,,23.200000,0,0.600000,24.100000,29.300000,271
2019/01/12 04:00:00+00,19,12.300000,30.200000,0,1.600000,32.800000,18.200000,272
2019/01/12 05:00:00+00,23.700000,16.300000,36.200000,0,4.600000,43.200000,11.200000,273
2019/01/12 06:00:00+00,21,20.200000,25.600000,0,2.900000,30.100000,22.400000,274
2019/01/12 07:00:00+00,18.800000,11.900000,22,0,2.400000,25.600000,32.500000,275
2019/01/12 08:00:00+00,16.400000,12.300000,26.200000,0,3.100000,30.900000,40.300000,276
2019/01/12 09:00:00+00,20.100000,10.100000,44,0,8.100000,56.400000,20.800000,277
2019/01/12 10:00:00+00,20.800000,13.700000,48.100000,0,10.600000,64.400000,17.500000,278
2019/01/12 11:00:00+00,17.700000,12.700000,26.400000,0,5.200000,34.500000,37.200000,279
2019/01/12 12:00:00+00,12.500000,8.100000,19.200000,0,4.800000,26.500000,46.800000,280
2019/01/12 13:00:00+00,16.800000,4.300000,16.600000,0,4.700000,23.700000,48.600000,281
2019/01/12 14:00:00+00,8,5.100000,17.700000,0,3.200000,22.600000,47.800000,282
